avg_sunshine,avg_rain,nitrogen,potash,phosphate,production
721.8,56.89166667,58576,41957,23882,184.01
1223,84.18333333,54327,40816,22574,194.89
847.9,69.6,52219,37414,23264,223.42
856.2,68.01666667,57246,36338,24290,242.76
-1,22.625,55554,32563,28085,369.22
559.5,42.6,45896,18072,17160,248.58
898.3,64.34166667,40033,19666,14530,151.73
1221.9,82.675,46296,26260,19380,320.06
992.8,78.38333333,52116,25517,21137,291.01
1345.4,105.45,70761,41776,40179,521.63
760.5,63.325,88430,56503,46555,572.58
881.1,70.41666667,100454,63639,47694,476.5
1058.8,79.23333333,105578,67656,44864,576.85
675.8,55.61666667,95992,56997,42764,576.62
962.7,76.39166667,95911,51291,43088,598.76
-1,8.066666667,107788,47674,54336,638.76
419.8,34.98333333,83411,24631,33495,259.44
522.9,43.46666667,78183,25227,29089,589.95
535.9,43.54166667,84259,32101,33209,609.89
864.4,70.94166667,91864,33772,40816,601.54
1464.2,117.6333333,94647,34755,32993,837.03
841.7,69.99166667,82446,34987,30058,1866.86
1067.6,85.925,72779,38143,26167,1133.67
1448.8,115.9,94697,43098,35622,855.04
1296.7,107.1666667,95495,41857,38296,1400.38
1373.8,111.1583333,86317,36841,33712,1140.85
-1,10.325,100022,33438,44196,1813.04
685.5,54.49166667,73799,16343,23575,834.93
715.7,58.68333333,92679,23701,29859,2316.46
910.6,71.575,96777,26749,31477,2195.63
1103.8,88.05833333,101131,27026,36700,1696.83
1258.3,98.975,52129,26845,24464,375.08
814.7,67.88333333,53553,21012,23726,412.98
766.6,63.15,46911,24532,18588,344.38
998.2,78.4,67143,37996,23934,420.18
834.2,60.875,59534,33398,25507,360.18
1225.9,98.15833333,63394,31028,26168,432.12
-1,15.375,65922,29105,30940,486.75
548.4,43.35,45159,12958,19542,143.45
610.2,50.48333333,39164,13229,17355,240.54
744.2,60.68333333,46643,14709,20325,340.08
1002.5,81.71666667,51926,17755,22215,354.99
1274.8,102.2,27141,8226,9436,538.3
1634.5,136.0916667,30203,5966,9900,490.85
1477.9,120.5583333,32608,9964,13455,439.72
565.6,47.13333333,27916,9234,11565,437.7
1104.6,88.35833333,27649,8468,10964,536.94
-1,8.183333333,29106,7408,10287,866.89
536.5,43.35833333,22617,4353,8690,239.34
935.7,77.95833333,22446,5568,6793,729.45
1018.9,82.95833333,31571,4852,11153,593.55
1022.6,78.34166667,37526,16964,14678,390.89
1177,95.85833333,40452,16020,15874,479.28
840.3,66.025,36704,17517,10605,388.68
1286.7,103.9833333,45232,21494,18456,482.37
677.1,56.36666667,42198,19654,15954,452.56
835.1,64.30833333,40109,14865,13638,441.26
-1,16.35,38383,15445,16218,441.97
724.1,59.00833333,30088,5927,12936,207.05
918.4,72.325,25544,6746,9645,418.44
1350.8,111.3916667,35144,7232,12627,517.33
1547.7,127.7916667,42568,8957,14752,563.01
2401.3,162.5166667,3824,4543,1346,4.72
1658.5,125.2833333,3200,4284,1540,4
1872.8,132.7,3348,3547,1390,4.29
2216.6,155.2333333,3697,4539,1827,3.05
1044.4,87.03333333,4806,4293,1194,1.78
1889.1,126.3333333,4393,3111,817,1.4
-1,24.08333333,3841,2682,1568,1.65
1467.6,107.2083333,3078,2231,547,1.15
1534.2,103.7916667,3689,2337,646,1.42
1957.1,135.7083333,2859,2192,435,0.15
1720.7,135.575,2544,2631,648,1.42
810.8,62.63333333,5037,1586,2134,57.88
1201.4,90.60833333,6693,2406,2873,66.7
1316.2,107.2416667,7206,3266,3415,66.94
1814.1,147.9916667,8089,2793,3581,55.79
3563.1,193.8416667,16542,2351,2555,310.6
3139.3,165.4666667,18965,2618,2951,257.4
2594.7,155.9166667,20551,2857,2658,309.25
2781.4,154.6916667,18098,1866,2059,303.4
1990.2,58.30833333,17863,1783,3346,290.76
2192.9,122.2666667,16722,1911,2218,362.94
3026.5,155.7333333,17433,2112,2994,334
2472.3,100.4583333,18932,2116,2487,328.7
1827.9,97.5,18891,1843,2580,306.5
3975.7,202.825,11097,704,1081,295
3831.9,200.4083333,12789,799,1281,314.5
3757.1,227.7333333,13250,1480,1898,334.62
3323.2,200.8583333,11350,996,2464,359.8
2256.5,89.26666667,11986,3073,1638,329.43
3071.3,177.7916667,11443,1017,1905,333.33
3802.7,174.225,11299,1624,2952,365.9
2957.5,128.2416667,13595,1392,1817,350.8
2244.4,141.7583333,12719,1412,1989,339.9
3634.6,190.1666667,11451,2496,2763,419.4
3698.7,214.6916667,13344,3041,3725,440.4
4076.2,266.3416667,15426,3649,3601,410.49
2991.2,194.2416667,10343,2861,3569,417.1
2874.4,126.975,11103,2576,4974,407.55
3720.7,204.9166667,10795,2032,2663,428.18
4357.4,214.2833333,10968,1877,2402,451.6
3034.5,129.5416667,11034,2296,2706,448.3
2354,162.1333333,13365,2951,4214,370.2
1490.7,91.275,67329,15650,37760,58.7
1573.9,88.1,76220,17446,42278,49.6
1195.7,70.51666667,76752,21533,38708,68.4
1184.1,78.15833333,85549,21793,52105,65.8
950.6,55,77097,18791,39087,80.79
1211.6,67.125,91831,22270,51200,93.3
1073.5,57.86666667,89524,26118,47561,86.7
838.7,48.675,80910,24208,50438,101.1
558.3,35.38333333,52970,9783,16878,35.9
598.1,34.88333333,71213,14529,19852,34.74
404.3,19.40833333,72072,19332,24557,35.76
541,32.75833333,69918,36001,37005,0.3
595.4,28.98333333,94338,54208,48087,0.14
591.2,40.78333333,82187,34346,44321,10.24
601.2,38.09166667,96741,31912,55264,19
473.2,36.54166667,70260,27499,48196,17.2
1233.7,70.85833333,66482,22495,34693,73.8
1183.1,70.85833333,75161,25107,38958,68.9
910.5,54.10833333,75211,29380,36560,78.2
810,59.20833333,84030,30423,45569,75.5
690.6,44.09166667,82459,24412,38374,106.16
1106.4,59.1,100054,34284,49921,153.2
1007.3,51.81666667,89233,34088,43262,136.1
803.9,55.15,84722,28373,48008,107.3
1530.3,85.75,40498,14780,18863,73.4
1362.1,73.68333333,45839,16606,21524,93.3
1142.5,69.9,44015,17700,19779,102.4
862.1,63.56666667,62449,33364,36351,109.3
1186,53.825,57162,21845,32013,76.9
818.2,51.85833333,44251,15488,20289,70.04
925.6,52.89166667,47096,18094,23320,75.6
1002.6,57.65,49866,20397,23562,94.7
649.3,47.95833333,45083,16037,23015,79.7
1065.6,62.6,48034,30192,25326,39.5
875.2,56.19166667,54285,33739,28115,28.9
775.2,53.94166667,56764,39832,34149,43.61
726,57.5,71037,34657,33141,38.7
692.4,42.81666667,81036,35869,48323,35.07
470.4,30.61666667,58363,22142,27974,33.74
625.7,36.675,60819,22403,27834,25.5
772.4,46.73333333,56600,25272,24195,31.4
480.8,38.15,47004,20165,26692,43.4
653,50.26666667,63586,24695,32365,0.33
2809.8,154.6833333,54086,24929,24003,247.8
2611.4,136.05,61474,28184,27809,286.4
2260.6,138.5333333,63657,29352,31709,338.02
2082,146.0333333,42606,17343,22690,287.2
1883.6,66.19166667,69702,34558,42920,293.27
1618.9,90.275,71049,26804,29658,283.96
1891.6,88.79166667,65996,24992,24460,341.8
1692.4,77.53333333,78964,32194,33235,338.6
972,66.28333333,68301,24587,30649,276.6
683.4,36.18333333,43590,9723,38755,0.16
614.2,26.04166667,38636,12798,28853,6.23
499.5,29.76666667,40899,17414,34859,0.33
1329.3,75.68333333,26093,2400,19404,62.9
